Date,Value
20001,0.7
20002,1.7
20003,1.3
20004,1.2
20005,0.4
20006,-0.2
20007,-0.2
20008,0.7
20009,0.9
200010,1.1
200011,1.8
200012,0.8
20011,1
20012,1.7
20013,0.9
20014,0.2
20015,-0.5
20016,0.3
20017,-0.2
20018,-0.4
20019,0.2
200110,0
200111,0.7
200112,-0.8
20021,0.4
20022,1.1
20023,-0.2
20024,-0.1
20025,-0.8
20026,-0.2
20027,-0.5
20028,-1
20029,-0.6
200210,-0.4
200211,-0.5
200212,-1.1
20031,-0.2
20032,-0.7
20033,-0.3
20034,-0.1
20035,-0.3
20036,-0.6
20037,0.3
20038,0.1
20039,-0.1
200310,0
200311,-0.3
200312,1.1
20041,-1.3
20042,1.2
20043,0.4
20044,-0.9
20045,1
20046,-0.8
20047,-0.5
20048,-0.3
20049,-0.3
200410,-0.1
200411,-0.7
200412,-0.8
20051,0.3
20052,-3.1
20053,0.3
20054,-0.6
20055,-0.8
20056,0.4
20057,0.2
20058,-0.3
20059,0.4
200510,1.2
200511,-0.2
200512,0
20061,1.7
20062,0.1
20063,1.8
20064,1.1
20065,-0.5
20066,-0.2
20067,-0.6
20068,-1
20069,-0.6
200610,-1.3
200611,0.1
200612,-0.3
20071,-0.8
20072,-0.1
20073,0.2
20074,-0.1
20075,-0.1
20076,0.5
20077,-0.3
20078,0.4
20079,0.2
200710,0.7
200711,0.9
200712,1.7
20081,1.8
20082,2.6
20083,1.4
20084,0.7
20085,-0.1
20086,0.6
20087,0.3
20088,1
20089,1.2
200810,1.3
200811,1.3
200812,1.4
20091,1.1
20092,1.9
20093,0.4
20094,0.8
20095,-0.1
20096,0.1
20097,0.2
20098,-0.2
20099,0.3
200910,-1.2
200911,-0.6
200912,-0.7
20101,-1.1
20102,-1.5
20103,-0.7
20104,1.2
20105,0.9
20106,0.4
20107,1.8
20108,1.8
20109,2.2
201010,1.7
201011,1.3
201012,2.9
20111,2.3
20112,2.7
20113,2.5
20114,1.9
20115,0.4
20116,0.2
20117,1
20118,0.4
20119,1
201110,0.8
201111,1.1
201112,2.5
20121,1.1
20122,0.5
20123,0.7
20124,-0.3
20125,0
20126,-0.4
20127,0
20128,-0.2
20129,0.2
201210,0.3
201211,0.3
201212,-0.6
20131,-0.1
20132,-0.2
20133,1.5
20134,0.2
20135,0.8
20136,1.2
20137,0.8
20138,0.2
20139,0.3
201310,-0.1
201311,0.7
201312,0.1
20141,1.4
20142,0.1
20143,-0.9
20144,0.8
20145,0.5
20146,0.2
20147,-0.2
20148,-0.7
20149,-0.7
201410,-0.6
201411,-0.9
201412,-0.6
20151,-0.8
20152,0.2
20153,-0.7
20154,0
20155,-0.7
20156,-0.6
20157,-1.1
20158,-1.4
20159,-1.6
201510,-1.7
201511,-0.5
201512,-0.6
20161,-2.2
20162,-2
20163,-0.1
20164,-1.2
20165,0.4
20166,0.6
20167,0.4
20168,0.7
20169,1.2
201610,-0.3
201611,-0.1
201612,0.3
20171,0.2
20172,-0.1
20173,0.9
20174,-0.2
20175,0.3
20176,-0.4
20177,0.8
20178,0.5
20179,0.6
201710,0.9
201711,0.9
201712,-0.1
20181,1.1
20182,-0.5
20183,1.5
20184,0.5
20185,0.4
20186,-0.1
20187,0.2
20188,-0.3
20189,-0.9
201810,0.4
201811,-0.1
201812,1
20191,0
20192,-1.4
20193,-0.3
20194,0.1
20195,-0.4
20196,-0.5
20197,-0.4
20198,-0.1
20199,-1.2
201910,-0.4
201911,-0.8
201912,-0.6
